,ClauseID,Doc,SentID,SentForm,PredType,PredForm,PredLemma,PredMorph,VMorphForm,PredTense,PredAspect,Voice,PredSylCo,PredFreq,Aux3,Aux2,Aux1,PassAux,OvertSubj,CovertSubj,SubjRef,SubjHead,SubjFreq,SubjDef,SubjNum,SubjPers,SubjAnim,SubjSynType,SubjSylCo,SubjMorph,SubjPosID,OvertObj,OvertIObj,CovertObj,ObjFreq,ObjHead,ObjDef,ObjNum,ObjPers,ObjAnim,ObjSylCo,ObjMorph,ObjSynType,ObjPosID,OvertObl,OblCase,OblHead,OblFreq,OblDef,OblNum,OblPers,OblAnim,OblSylCo,OblMorph,OblSynType,OblPosID,Obl2,Obl3,AgentDesc,AgentDef,AgentNum,AgentPers,AgentAnim,AgPres,,,,,,,,,,,
14,15,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,7,The cells were operating in the Ghazaliyah and al-Jihad districts of the capital.,V,operating,operate,VBG,Part,Past,Simple,Act,4,5.37E-05,/,/,were,/,The cells,/,/,cells,4.79E-05,def,Plur,3,org,full,2,NNS,2,/,0,/,/,/,/,/,/,/,/,/,/,/,in the Ghazaliyah and al - Jihad districts of the capital,in,districts,1.66E-05,def,Plur,3,loc,17,NNS,full,12,/,/,,,,,,,,,,,,,,,,,
15,16,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",V,made,make,VBN,Part,Past,Simple,Pass,1,0.000832,/,/,was,be,the announcement,/,/,announcement,1.95E-05,def,Sing,3,nonconc,full,4,NN,3,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
16,17,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",V,show,show,VB,Inf,Tenseless,Simple,Act,1,0.000437,/,/,/,/,the announcement,/,/,announcement,1.95E-05,def,Sing,3,nonconc,full,4,NN,3,progress in identifying and breaking up terror cells,0,/,6.46E-05,progress,indef,Sing,3,nonconc,15,NN,full,9,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
17,18,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",V,identifying,identify,VBG,Ger,Tenseless,Simple,Act,5,1.10E-05,/,/,/,/,progress,/,/,progress,6.46E-05,indef,Sing,3,nonconc,full,2,NN,9,terror cells,0,/,4.79E-05,cells,indef,Plur,3,org,3,NNS,full,16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
18,19,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",V,breaking up,break up,VBG,Ger,Tenseless,Simple,Act,2,5.14E-05,/,/,/,/,progress,/,/,progress,6.46E-05,indef,Sing,3,nonconc,full,2,NN,9,terror cells,0,/,4.79E-05,cells,indef,Plur,3,org,3,NNS,full,16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
19,20,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",V,find,find,VB,Inf,Pres,Simple,Act,1,0.00055,/,/,do,/,I,/,/,I,0.0129,def,Sing,1,human,pron,1,PRP,18,the news that the Baathists continue to penetrate the Iraqi government,0,/,0.000257,news,def,Sing,3,nonconc,21,NN,full,23,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
20,21,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",V,continue,continue,VBP,Fin,Pres,Simple,Act,3,0.00012,/,/,/,/,the Baathists,/,/,Baathists,4.07E-08,def,Plur,3,/,proper,3,NNPS,26,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
21,22,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",V,penetrate,penetrate,VB,Inf,Tenseless,Simple,Act,3,3.89E-06,/,/,/,/,the Baathists,/,/,Baathists,4.07E-08,def,Plur,3,/,proper,3,NNPS,26,the Iraqi government,0,/,0.000479,government,def,Sing,3,org,7,NN,full,32,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
22,23,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,9,It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam.,V,reminds,remind,VBZ,Fin,Pres,Simple,Act,2,1.74E-05,/,/,/,/,It,/,/,It,0.00912,def,Sing,3,nonconc,pron,1,PRP,1,me,0,/,0.00331,me,def,Sing,1,human,1,PRP,pron,3,of the ARVN officers who were secretly working for the other side in Vietnam,of,officers,7.59E-05,def,Plur,3,human,23,NNS,full,9,/,/,,,,,,,,,,,,,,,,,
23,24,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,9,It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam.,V,working,work,VBG,Part,Past,Simple,Act,2,0.000282,/,/,were,/,who,of the ARVN officers who were secretly working for the other side in Vietnam,/,who,0.00224,def,Plur,3,human,wh,1,WP,/,/,0,/,/,/,/,/,/,/,/,/,/,/,for the other side,for,side,0.000309,def,Sing,3,org,5,NN,full,17,/,/,,,,,,,,,,,,,,,,,
24,25,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,10,Al-Zaman : Guerrillas killed a member of the Kurdistan Democratic Party after kidnapping him in Mosul.,V,killed,kill,VBD,Fin,Past,Simple,Act,1,0.000155,/,/,/,/,Guerrillas,/,/,Guerrillas,1.66E-06,indef,Plur,3,human,full,3,NNS,5,a member of the Kurdistan Democratic Party,0,/,0.000162,member,indef,Sing,3,NMA!,14,NN,full,8,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
25,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,10,Al-Zaman : Guerrillas killed a member of the Kurdistan Democratic Party after kidnapping him in Mosul.,V,kidnapping,kidnap,VBG,Ger,Tenseless,Simple,Act,3,5.75E-06,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,him,0,/,0.00126,him,def,Sing,3,human,1,PRP,pron,16,in Mosul,in,Mosul,1.17E-06,def,Sing,3,/,3,NNP,proper,18,/,/,Guerillas,indef,Plur,3,human,,,,,,,,,,,,
26,27,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,11,"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul, whereas there had been a big jump in the number of kidnappings.",V,announced,announce,VBD,Fin,Past,Simple,Act,2,8.71E-05,/,/,/,/,The police commander of Ninevah Province,/,/,commander,3.31E-05,def,Sing,3,human,full,13,NN,3,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
27,28,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,11,"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul, whereas there had been a big jump in the number of kidnappings.",V,declined,decline,VBN,Part,Past,Perf,Act,2,1.66E-05,/,/,had,/,bombings,/,/,bombings,2.95E-06,indef,Plur,3,nonconc,full,2,NNS,9,80 percent,0,/,9.77E-05,percent,indef,Sing,3,nonconc,2,NN,full,13,in Mosul,in,Mosul,1.17E-06,def,Sing,3,/,3,NNP,proper,15,/,/,,,,,,,,,,,,,,,,,
28,29,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,11,"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul, whereas there had been a big jump in the number of kidnappings.",V,been,be,VBN,Part,Past,Perf,Act,1,0.00191,/,/,had,/,a big jump in the number of kidnappings,/,/,jump,4.57E-05,indef,Sing,3,conc,full,11,NN,23,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
29,30,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,12,On Wednesday guerrillas had kidnapped a cosmetic surgeon and his wife while they were on their way home.,V,kidnapped,kidnap,VBN,Part,Past,Perf,Act,2,8.51E-06,/,/,had,/,guerrillas,/,/,guerrillas,1.66E-06,indef,Plur,3,human,full,3,NNS,3,a cosmetic surgeon and his wife,0,/,1.2e-05;;0.000162,surgeon;;wife,indef;;indef,Plur,3,human;;human,9,NN;;NN,full;;full,8;;11,On Wednesday,On,Wednesday,3.55E-05,def,Sing,3,/,3,NNP,proper,2,/,/,,,,,,,,,,,,,,,,,
30,31,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,12,On Wednesday guerrillas had kidnapped a cosmetic surgeon and his wife while they were on their way home.,N,way,way,NN,/,Tenseless,Simple,Act,1,0.000977,/,/,/,/,they,/,/,they,0.00324,def,Plur,3,/,pron,1,PRP,13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
31,32,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,13,"In Suwayrah, Kut Province, two car bombs were discovered before they could be detonated.",V,discovered,discover,VBN,Part,Past,Simple,Pass,3,5.50E-05,/,/,were,be,two car bombs,/,/,bombs,1.32E-05,indef,Sing,3,conc,full,3,NN,9,/,0,/,/,/,/,/,/,/,/,/,/,/,"In Suwayrah , Kut Province",In,Suwayrah,0,def,Sing,3,conc,7,NNP,proper,2,/,/,,,,,,,,,,,,,,,,,
32,33,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,13,"In Suwayrah, Kut Province, two car bombs were discovered before they could be detonated.",V,detonated,detonate,VBN,Part,Tenseless,Simple,Pass,4,1.23E-06,/,could,be,be,they,/,/,they,0.00324,def,Plur,3,/,pron,1,PRP,13,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
33,34,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,14,"(Kut is in southeastern Iraq and has an overwhelmingly Shiite population, who are on the lookout for Baathist saboteurs and willingly turn them in.",N,Iraq,Iraq,NNP,/,Tenseless,Simple,Act,2,3.47E-05,/,/,/,/,Kut,/,/,Kut,2.69E-07,def,Sing,3,/,proper,1,NNP,2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
34,35,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,14,"(Kut is in southeastern Iraq and has an overwhelmingly Shiite population, who are on the lookout for Baathist saboteurs and willingly turn them in.",V,has,have,VBZ,Fin,Pres,Simple,Act,1,0.00234,/,/,/,/,Kut,/,/,Kut,2.69E-07,def,Sing,3,/,proper,1,NNP,2,"an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in",0,/,0.000132,population,indef,Sing,3,nonconc,32,NN,full,12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
35,36,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,14,"(Kut is in southeastern Iraq and has an overwhelmingly Shiite population, who are on the lookout for Baathist saboteurs and willingly turn them in.",N,lookout,lookout,NN,/,Tenseless,Simple,Act,2,3.63E-06,/,/,/,/,who,"an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in",/,who,0.00224,def,Sing,3,nonconc,wh,1,WP,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
36,37,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,14,"(Kut is in southeastern Iraq and has an overwhelmingly Shiite population, who are on the lookout for Baathist saboteurs and willingly turn them in.",V,turn in,turn in,VBP,Fin,Pres,Simple,Act,1,0.000216,/,/,/,/,who,"an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in",/,who,0.00224,def,Sing,3,nonconc,wh,1,WP,/,them,0,/,0.00155,them,def,Plur,3,/,1,PRP,pron,25,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
37,38,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,15,This willingness is the main difference in the number of bombings in the south as opposed to the center-north of the country.),N,difference,difference,NN,/,Tenseless,Simple,Act,2.5,0.000102,/,/,/,/,This willingness,/,/,willingness,7.94E-06,def,Sing,3,nonconc,full,4,NN,2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
38,39,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,15,This willingness is the main difference in the number of bombings in the south as opposed to the center-north of the country.),V,opposed,oppose,VBN,Part,Tenseless,Simple,Act,2,3.63E-05,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
39,40,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,16,"In Baghdad Kadhim Talal Husain, assistant dean at the School of Education at Mustansiriyah University, was assassinated with his driver in the Salikh district.",V,assassinated,assassinate,VBN,Part,Past,Simple,Pass,5,2.82E-06,/,/,was,be,"Kadhim Talal Husain , assistant dean at the School of Education at Mustansiriyah University",/,/,Kadhim,4.57E-08,def,Sing,3,/,proper,29,NNP,3,/,0,/,/,/,/,/,/,/,/,/,/,/,In Baghdad,In,Baghdad,5.37E-06,def,Sing,3,/,3,NNP,proper,2,/,/,,,,,,,,,,,,,,,,,
40,41,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,17,"Guerrillas killed an engineer, Asi Ali, from Tikrit.",V,killed,kill,VBD,Fin,Past,Simple,Act,1,0.000155,/,/,/,/,Guerrillas,/,/,Guerrillas,1.66E-06,indef,Plur,3,human,full,3,NNS,1,"an engineer , Asi Ali , from Tikrit",0,/,2.45E-05,engineer,indef,Sing,3,human,11,NN,full,4,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
41,42,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,18,"They also killed Shaikh Hamid 'Akkab, a clan elder of a branch of the Dulaim tribe in Tikrit.",V,killed,kill,VBD,Fin,Past,Simple,Act,1,0.000155,/,/,/,/,They,/,/,They,0.00324,def,Plur,3,/,pron,1,PRP,1,"Shaikh Hamid 'Akkab , a clan elder of a branch of the Dulaim tribe",0,/,5.37E-07,Shaikh,def,Sing,3,/,17,NNP,proper,4,in Tikrit,in,Tikrit,5.89E-07,def,Sing,3,/,3,NNP,proper,19,/,/,,,,,,,,,,,,,,,,,
42,43,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,19,His mother was also killed in the attack.,V,killed,kill,VBN,Part,Past,Simple,Pass,1,0.000155,/,/,was,be,His mother,/,/,mother,0.000191,indef,Sing,3,human,full,3,NN,2,/,0,/,/,/,/,/,/,/,/,/,/,/,in the attack,in,attack,0.000117,def,Sing,3,conc,4,NN,full,8,/,/,,,,,,,,,,,,,,,,,
43,44,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,20,Two other Dulaim leaders have been killed in the past week and a half.,V,killed,kill,VBN,Part,Pres,Simple,Pass,1,0.000155,/,have,been,be,Two other Dulaim leaders,/,/,leaders,7.08E-05,indef,Plur,3,human,full,7,NNS,4,/,0,/,/,/,/,/,/,/,/,/,/,/,in the past week and a half,in,week,0.000324,def,Sing,3,nonconc,7,NN,full,11,/,/,,,,,,,,,,,,,,,,,
44,45,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,21,"Guerrillas near Hawijah launched an attack that left 6 dead, including 4 Iraqi soldiers.",V,launched,launch,VBD,Fin,Past,Simple,Act,1,4.57E-05,/,/,/,/,Guerrillas near Hawijah,/,/,Guerrillas,1.66E-06,indef,Plur,3,human,full,7,NNS,1,"an attack that left 6 dead , including 4 Iraqi soldiers",0,/,0.000117,attack,indef,Sing,3,conc,14,NN,full,6,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
45,46,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,21,"Guerrillas near Hawijah launched an attack that left 6 dead, including 4 Iraqi soldiers.",V,left,leave,VBD,Fin,Past,Simple,Act,1,0.000427,/,/,/,/,that,"an attack that left 6 dead , including 4 Iraqi soldiers",/,that,0.0105,def,Sing,3,conc,wh,1,WDT,/,6 including 4 Iraqi soldiers,0,/,0.000407,6,indef,Plur,3,nonconc,8,CD,num,9,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
46,47,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,21,"Guerrillas near Hawijah launched an attack that left 6 dead, including 4 Iraqi soldiers.",V,including,include,VBG,Ger,Tenseless,Simple,Act,3,0.000347,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
47,48,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,22,One of them was from the Jubur tribe and was deputy commander of the Hawijah garrison.,N,Jubur,Jubur,NNP,/,Tenseless,Simple,Act,2,0,/,/,/,/,One of them,/,/,One,0.00302,indef,Sing,3,nonconc,num,3,CD,1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
48,49,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,22,One of them was from the Jubur tribe and was deputy commander of the Hawijah garrison.,N,commander,commander,NN,/,Tenseless,Simple,Act,3,3.31E-05,/,/,/,/,One of them,/,/,One,0.00302,indef,Sing,3,nonconc,num,3,CD,1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
49,50,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,23,"Two hundred members of the Batawi clan of the Dulaim demonstrated in Baghdad on Friday, protesting the killing of their clan elder, Shaikh Kadhim Sarhid and 4 of his sons, by gunmen wearing Iraqi army uniforms.",V,demonstrated,demonstrate,VBD,Fin,Past,Simple,Act,4,2.04E-05,/,/,/,/,Two hundred members of the Batawi clan of the Dulaim,/,/,members,0.000245,indef,Plur,3,NMA!,full,15,NNS,3,/,0,/,/,/,/,/,/,/,/,/,/,/,in Baghdad,in,Baghdad,5.37E-06,def,Sing,3,/,3,NNP,proper,13,/,/,,,,,,,,,,,,,,,,,
50,51,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,23,"Two hundred members of the Batawi clan of the Dulaim demonstrated in Baghdad on Friday, protesting the killing of their clan elder, Shaikh Kadhim Sarhid and 4 of his sons, by gunmen wearing Iraqi army uniforms.",V,protesting,protest,VBG,Ger,Tenseless,Simple,Act,3,3.98E-06,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,"the killing of their clan elder , Shaikh Kadhim Sarhid and 4 of his sons , by gunmen wearing Iraqi army uniforms",0,/,7.24E-05,killing,def,Sing,3,nonconc,30,NN,full,19,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Members of the Batawi clan,indef,Plur,3,human,,,,,,,,,,,,
