,Unnamed: 0,ClauseID,Doc,SentID,SentForm,ClauseForm,PredType,PredForm,PredLemma,PredMorph,VMorphForm,PredTense,PredAspect,Voice,PredSylCo,PredFreq,PredFin,Aux3,Aux2,Aux1,PassAux,OvertSubj,CovertSubj,SubjRef,SubjHead,SubjFreq,SubjDef,SubjNum,SubjPers,SubjAnim,SubjSynType,SubjSylCo,SubjMorph,SubjPosID,OvertObj,OvertIObj,CovertObj,ObjFreq,ObjHead,ObjDef,ObjNum,ObjPers,ObjAnim,ObjSylCo,ObjMorph,ObjSynType,ObjPosID,OvertObl,OblCase,OblHead,OblFreq,OblDef,OblNum,OblPers,OblAnim,OblSylCo,OblMorph,OblSynType,OblPosID,Obl2,Obl3,Obl2PosID,Obl3PosID,NonAlternable,SubjChain,ObjChain,OblChain,Obl2Chain,Obl3Chain,PrevVoice1,PrevVoice2,PrevVoice3,PrevVoice4,PrevVoice5,PrevVoice6,PrevVoice7,PrevVoice8,PrevVoice9,PrevVoice10
10,10,11,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,4,"The MoI in Iraq is equivalent to the US FBI, so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s.",J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s,V,employ,employ,VB,Inf,Tenseless,Simple,Act,2.0,8.91e-06,Nonfin,/,/,/,/,J. Edgar Hoover,/,/,J.,9.77e-05,def,Sing,3,/,proper,5.0,NNP,18,members of the Weathermen bombers,0,/,0.000245,members,indef,Plur,3,NMA!,9.0,NNS,full,27,at a high level,at,level,0.000263,indef,Sing,3,conc,5.0,NN,full,26,back in the 1960s,/,35,/,/,/,/,/,/,/,Act,Act,Act,Pass,Act,Act,Act,Act,Act,Act
11,11,12,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,5,The third was being run by the head of an investment firm.,The third was being run by the head of an investment firm .,V,run,run,VBN,Part,Past,Prog,Pass,1.0,0.000295,Fin,/,was,being,be,The third,/,/,third,0.000209,def,/,3,conc,NMA!,2.0,JJ,2,/,0,/,/,/,/,/,/,/,/,/,/,/,by the head of an investment firm,by,head,0.000331,def,Sing,3,human,9.0,NN,full,8,/,/,/,/,/,/,/,/,/,/,Act,Act,Act,Act,Pass,Act,Act,Act,Act,Act
12,12,13,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,6,You wonder if he was manipulating the market with his bombing targets.,You wonder if he was manipulating the market with his bombing targets .,V,wonder,wonder,VBP,Fin,Pres,Simple,Act,2.0,7.59e-05,Fin,/,/,/,/,You,/,/,You,0.00977,def,Sing,2,human,pron,1.0,PRP,1,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Pass,Act,Act,Act,Act,Pass,Act,Act,Act,Act
13,13,14,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,6,You wonder if he was manipulating the market with his bombing targets.,if he was manipulating the market with his bombing targets,V,manipulating,manipulate,VBG,Part,Past,Prog,Act,5.0,2.75e-06,Fin,/,/,was,/,he,/,/,he,0.0049,def,Sing,3,human,pron,1.0,PRP,4,the market,0,/,0.000195,market,def,Sing,3,org,3.0,NN,full,8,with his bombing targets,with,targets,2.45e-05,indef,Plur,3,human,6.0,NNS,full,12,/,/,/,/,/,15,/,/,/,/,Act,Pass,Act,Act,Act,Act,Pass,Act,Act,Act
14,14,15,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,7,The cells were operating in the Ghazaliyah and al-Jihad districts of the capital.,The cells were operating in the Ghazaliyah and al - Jihad districts of the capital .,V,operating,operate,VBG,Part,Past,Prog,Act,4.0,5.3700000000000004e-05,Fin,/,/,were,/,The cells,/,/,cells,4.79e-05,def,Plur,3,org,full,2.0,NNS,2,/,0,/,/,/,/,/,/,/,/,/,/,/,in the Ghazaliyah and al - Jihad districts of the capital,in,districts,1.66e-05,def,Plur,3,loc,17,NNS,full,12,/,/,/,/,/,19,/,/,/,/,Act,Act,Pass,Act,Act,Act,Act,Pass,Act,Act
15,15,16,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",Although the announcement was probably made to show progress in identifying and breaking up terror cells,V,made,make,VBN,Part,Past,Simple,Pass,1.0,0.0008320000000000001,Fin,/,/,was,be,the announcement,/,/,announcement,1.95e-05,def,Sing,3,nonconc,full,4.0,NN,3,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,24,/,/,/,/,Act,Act,Act,Pass,Act,Act,Act,Act,Pass,Act
16,16,17,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",the announcement to show progress in identifying and breaking up terror cells,V,show,show,VB,Inf,Tenseless,Simple,Act,1.0,0.000437,Nonfin,/,/,/,/,the announcement,/,/,announcement,1.95e-05,def,Sing,3,nonconc,full,4.0,NN,3,progress in identifying and breaking up terror cells,0,/,6.46e-05,progress,indef,Sing,3,nonconc,15.0,NN,full,9,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,24,/,/,/,/,Pass,Act,Act,Act,Pass,Act,Act,Act,Act,Pass
17,17,18,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",in identifying and breaking up terror cells,V,identifying,identify,VBG,Ger,Tenseless,Prog,Act,5.0,1.1e-05,Nonfin,/,/,/,/,progress,/,/,progress,6.46e-05,indef,Sing,3,nonconc,full,2.0,NN,9,terror cells,0,/,4.79e-05,cells,indef,Plur,3,org,3.0,NNS,full,16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Act,Pass,Act,Act,Act,Pass,Act,Act,Act,Act
18,18,19,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",and breaking up terror cells,V,breaking up,break up,VBG,Ger,Tenseless,Prog,Act,2.0,5.14e-05,Nonfin,/,/,/,/,progress,/,/,progress,6.46e-05,indef,Sing,3,nonconc,full,2.0,NN,9,terror cells,0,/,4.79e-05,cells,indef,Plur,3,org,3.0,NNS,full,16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Act,Act,Pass,Act,Act,Act,Pass,Act,Act,Act
19,19,20,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.","Although the announcement was probably made to show progress in identifying and breaking up terror cells , I do n't find the news that the Baathists continue to penetrate the Iraqi government very hopeful .",V,find,find,VB,Inf,Pres,Simple,Act,1.0,0.00055,Fin,/,/,do,/,I,/,/,I,0.0129,def,Sing,1,human,pron,1.0,PRP,18,the news that the Baathists continue to penetrate the Iraqi government,0,/,0.000257,news,def,Sing,3,nonconc,21,NN,full,23,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,26,/,/,/,/,Act,Act,Act,Pass,Act,Act,Act,Pass,Act,Act
20,20,21,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",that the Baathists continue to penetrate the Iraqi government,V,continue,continue,VBP,Fin,Pres,Simple,Act,3.0,0.00011999999999999999,Fin,/,/,/,/,the Baathists,/,/,Baathists,4.07e-08,def,Plur,3,/,proper,3,NNPS,26,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Act,Act,Act,Act,Pass,Act,Act,Act,Pass,Act
21,21,22,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",the Baathists to penetrate the Iraqi government,V,penetrate,penetrate,VB,Inf,Tenseless,Simple,Act,3.0,3.89e-06,Nonfin,/,/,/,/,the Baathists,/,/,Baathists,4.07e-08,def,Plur,3,/,proper,3,NNPS,26,the Iraqi government,0,/,0.000479,government,def,Sing,3,org,7.0,NN,full,32,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,20,/,/,/,Act,Act,Act,Act,Act,Pass,Act,Act,Act,Pass
22,22,23,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,9,It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam.,It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam .,V,reminds,remind,VBZ,Fin,Pres,Simple,Act,2.0,1.74e-05,Fin,/,/,/,/,It,/,/,It,0.00912,def,Sing,3,nonconc,pron,1.0,PRP,1,me,0,/,0.00331,me,def,Sing,1,human,1.0,PRP,pron,3,of the ARVN officers who were secretly working for the other side in Vietnam,of,officers,7.59e-05,def,Plur,3,human,23,NNS,full,9,/,/,/,/,/,24,26,/,/,/,Act,Act,Act,Act,Act,Act,Pass,Act,Act,Act
23,23,24,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,9,It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam.,of the ARVN officers who were secretly working for the other side in Vietnam,V,working,work,VBG,Part,Past,Prog,Act,2.0,0.00028199999999999997,Fin,/,/,were,/,who,of the ARVN officers who were secretly working for the other side in Vietnam,/,who,0.00224,def,Plur,3,human,wh,1.0,WP,/,/,0,/,/,/,/,/,/,/,/,/,/,/,for the other side,for,side,0.000309,def,Sing,3,org,5.0,NN,full,17,in Vietnam,/,19,/,/,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Pass,Act,Act
24,24,25,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,10,Al-Zaman : Guerrillas killed a member of the Kurdistan Democratic Party after kidnapping him in Mosul.,Guerrillas killed a member of the Kurdistan Democratic Party after kidnapping him in Mosul,V,killed,kill,VBD,Fin,Past,Simple,Act,1.0,0.000155,Fin,/,/,/,/,Guerrillas,/,/,Guerrillas,1.66e-06,indef,Plur,3,human,full,3.0,NNS,5,a member of the Kurdistan Democratic Party,0,/,0.000162,member,indef,Sing,3,NMA!,14.0,NN,full,8,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,3,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Pass,Act
25,25,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,10,Al-Zaman : Guerrillas killed a member of the Kurdistan Democratic Party after kidnapping him in Mosul.,after kidnapping him in Mosul,V,kidnapping,kidnap,VBG,Ger,Tenseless,Prog,Act,3.0,5.75e-06,Nonfin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,him,0,/,0.00126,him,def,Sing,3,human,1.0,PRP,pron,16,in Mosul,in,Mosul,1.17e-06,def,Sing,3,loc,3.0,NNP,proper,18,/,/,/,/,/,/,1,2,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Pass
26,26,27,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,11,"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul, whereas there had been a big jump in the number of kidnappings.","The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul , whereas there had been a big jump in the number of kidnappings .",V,announced,announce,VBD,Fin,Past,Simple,Act,2.0,8.71e-05,Fin,/,/,/,/,The police commander of Ninevah Province,/,/,commander,3.31e-05,def,Sing,3,human,full,13,NN,3,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act
27,27,28,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,11,"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul, whereas there had been a big jump in the number of kidnappings.","that bombings had declined 80 percent in Mosul , whereas there had been a big jump in the number of kidnappings",V,declined,decline,VBN,Part,Past,Perf,Act,2.0,1.66e-05,Fin,/,/,had,/,bombings,/,/,bombings,2.95e-06,indef,Plur,3,nonconc,full,2.0,NNS,9,80 percent,0,/,9.77e-05,percent,indef,Sing,3,nonconc,2,NN,full,13,in Mosul,in,Mosul,1.17e-06,def,Sing,3,loc,3.0,NNP,proper,15,/,/,/,/,/,/,/,2,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act
28,28,29,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,11,"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul, whereas there had been a big jump in the number of kidnappings.",whereas there had been a big jump in the number of kidnappings,V,been,be,VBN,Part,Past,Perf,Act,1.0,0.0019100000000000002,Fin,/,/,had,/,a big jump in the number of kidnappings,/,/,jump,4.57e-05,indef,Sing,3,conc,full,11.0,NN,23,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act
29,29,30,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,12,On Wednesday guerrillas had kidnapped a cosmetic surgeon and his wife while they were on their way home.,On Wednesday guerrillas had kidnapped a cosmetic surgeon and his wife while they were on their way home .,V,kidnapped,kidnap,VBN,Part,Past,Perf,Act,2.0,8.51e-06,Fin,/,/,had,/,guerrillas,/,/,guerrillas,1.66e-06,indef,Plur,3,human,full,3.0,NNS,3,a cosmetic surgeon and his wife,0,/,1.2e-05;;0.000162,surgeon;;wife,indef;;indef,Plur,3,human;;human,9.0,NN;;NN,full;;full,8;;11,On Wednesday,On,Wednesday,3.55e-05,def,Sing,3,/,3.0,NNP,proper,2,/,/,/,/,/,9,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act
30,30,31,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,12,On Wednesday guerrillas had kidnapped a cosmetic surgeon and his wife while they were on their way home.,while they were on their way home,N,way,way,NN,/,Tenseless,Simple,Act,1.0,0.000977,Nonfin,/,/,/,/,they,/,/,they,0.00324,def,Plur,3,/,pron,1.0,PRP,13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,9,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act
31,31,32,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,13,"In Suwayrah, Kut Province, two car bombs were discovered before they could be detonated.","In Suwayrah , Kut Province , two car bombs were discovered before they could be detonated .",V,discovered,discover,VBN,Part,Past,Simple,Pass,3.0,5.5e-05,Fin,/,/,were,be,two car bombs,/,/,bombs,1.32e-05,indef,Sing,3,conc,full,3.0,NN,9,/,0,/,/,/,/,/,/,/,/,/,/,/,"In Suwayrah , Kut Province",In,Suwayrah,0.0,def,Sing,3,loc,7,NNP,proper,2,/,/,/,/,/,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act
32,32,33,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,13,"In Suwayrah, Kut Province, two car bombs were discovered before they could be detonated.",before they could be detonated,V,detonated,detonate,VBN,Part,Tenseless,Simple,Pass,4.0,1.23e-06,Fin,/,could,be,could,they,/,/,they,0.00324,def,Plur,3,/,pron,1.0,PRP,13,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,9,/,/,/,/,Pass,Act,Act,Act,Act,Act,Act,Act,Act,Act
33,33,34,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,14,"(Kut is in southeastern Iraq and has an overwhelmingly Shiite population, who are on the lookout for Baathist saboteurs and willingly turn them in.","( Kut is in southeastern Iraq and has an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in .",N,Iraq,Iraq,NNP,/,Tenseless,Simple,Act,2.0,3.47e-05,Nonfin,/,/,/,/,Kut,/,/,Kut,2.69e-07,def,Sing,3,org,proper,1.0,NNP,2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13,/,/,/,/,Pass,Pass,Act,Act,Act,Act,Act,Act,Act,Act
34,34,35,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,14,"(Kut is in southeastern Iraq and has an overwhelmingly Shiite population, who are on the lookout for Baathist saboteurs and willingly turn them in.","Kut and has an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in",V,has,have,VBZ,Fin,Pres,Simple,Act,1.0,0.00234,Fin,/,/,/,/,Kut,/,/,Kut,2.69e-07,def,Sing,3,org,proper,1.0,NNP,2,"an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in",0,/,0.000132,population,indef,Sing,3,nonconc,32,NN,full,12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13,/,/,/,/,Act,Pass,Pass,Act,Act,Act,Act,Act,Act,Act
35,35,36,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,14,"(Kut is in southeastern Iraq and has an overwhelmingly Shiite population, who are on the lookout for Baathist saboteurs and willingly turn them in.","an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in",N,lookout,lookout,NN,/,Tenseless,Simple,Act,2.0,3.63e-06,Nonfin,/,/,/,/,who,"an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in",/,who,0.00224,def,Sing,3,nonconc,wh,1.0,WP,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Act,Act,Pass,Pass,Act,Act,Act,Act,Act,Act
36,36,37,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,14,"(Kut is in southeastern Iraq and has an overwhelmingly Shiite population, who are on the lookout for Baathist saboteurs and willingly turn them in.","an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in",V,turn in,turn in,VBP,Fin,Pres,Simple,Act,1.0,0.00021600000000000002,Fin,/,/,/,/,who,"an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in",/,who,0.00224,def,Sing,3,nonconc,wh,1.0,WP,/,them,0,/,0.00155,them,def,Plur,3,/,1.0,PRP,pron,25,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,11,/,/,/,Act,Act,Act,Pass,Pass,Act,Act,Act,Act,Act
37,37,38,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,15,This willingness is the main difference in the number of bombings in the south as opposed to the center-north of the country.),This willingness is the main difference in the number of bombings in the south as opposed to the center - north of the country . ),N,difference,difference,NN,/,Tenseless,Simple,Act,2.5,0.000102,Nonfin,/,/,/,/,This willingness,/,/,willingness,7.94e-06,def,Sing,3,nonconc,full,4.0,NN,2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Act,Act,Act,Act,Pass,Pass,Act,Act,Act,Act
38,38,39,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,15,This willingness is the main difference in the number of bombings in the south as opposed to the center-north of the country.),opposed,V,opposed,oppose,VBN,Part,Tenseless,Simple,Pass,2.0,3.63e-05,Fin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Act,Act,Act,Act,Act,Pass,Pass,Act,Act,Act
