X1,Unnamed: 0,ClauseID,Doc,SentID,SentForm,ClauseForm,PredType,PredForm,PredLemma,PredMorph,VMorphForm,PredTense,PredAspect,Voice,PredSylCo,PredFreq,PredFin,Aux3,Aux2,Aux1,PassAux,OvertSubj,CovertSubj,SubjRef,SubjHead,SubjFreq,SubjDef,SubjNum,SubjPers,SubjAnim,SubjSynType,SubjSylCo,SubjMorph,SubjPosID,OvertObj,OvertIObj,CovertObj,ObjFreq,ObjHead,ObjDef,ObjNum,ObjPers,ObjAnim,ObjSylCo,ObjMorph,ObjSynType,ObjPosID,OvertObl,OblCase,OblHead,OblFreq,OblDef,OblNum,OblPers,OblAnim,OblSylCo,OblMorph,OblSynType,OblPosID,Obl2,Obl3,Obl2PosID,Obl3PosID,NonAlternable,SubjChain,ObjChain,OblChain,Obl2Chain,Obl3Chain,PrevVoice1,PrevVoice2,PrevVoice3,PrevVoice4,PrevVoice5,PrevVoice6,PrevVoice7,PrevVoice8,PrevVoice9,PrevVoice10,X81,X82,X83,X84,X85,X86,X87,X88,X89,AgentDesc,AgentDef,AgentNum,AgentPers,AgentAnim
10,10,11,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,4,"The MoI in Iraq is equivalent to the US FBI, so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s.",J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s,V,employ,employ,VB,Inf,Tenseless,Simple,Act,2,8.91e-6,Nonfin,/,/,/,/,J. Edgar Hoover,/,/,J.,9.77E-05,def,Sing,3,/,proper,5,NNP,18,members of the Weathermen bombers,0,/,0.000245,members,indef,Plur,3,NMA!,9,NNS,full,27,at a high level,at,level,0.000263,indef,Sing,3,conc,5,NN,full,26,back in the 1960s,/,35,/,NA,/,/,/,/,/,Act,Act,Act,Pass,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,11,12,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,5,The third was being run by the head of an investment firm.,The third was being run by the head of an investment firm .,V,run,run,VBN,Part,Past,Prog,Pass,1,2.95e-4,Fin,/,was,being,be,The third,/,/,third,0.000209,def,/,3,conc,NMA!,2,JJ,2,/,0,/,/,/,/,/,/,/,/,/,/,/,by the head of an investment firm,by,head,0.000331,def,Sing,3,human,9,NN,full,8,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Pass,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,12,13,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,6,You wonder if he was manipulating the market with his bombing targets.,You wonder if he was manipulating the market with his bombing targets .,V,wonder,wonder,VBP,Fin,Pres,Simple,Act,2,7.59e-5,Fin,/,/,/,/,You,/,/,You,0.00977,def,/,2,human,pron,1,PRP,1,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Pass,Act,Act,Act,Act,Pass,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,13,14,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,6,You wonder if he was manipulating the market with his bombing targets.,if he was manipulating the market with his bombing targets,V,manipulating,manipulate,VBG,Part,Past,Simple,Act,5,2.75e-6,Fin,/,/,was,/,he,/,/,he,0.0049,def,Sing,3,human,pron,1,PRP,4,the market,0,/,0.000195,market,def,Sing,3,org,3,NN,full,8,with his bombing targets,with,targets,2.45E-05,indef,Plur,3,human,6,NNS,full,12,/,/,/,/,TRUE,15,/,/,/,/,Act,Pass,Act,Act,Act,Act,Pass,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,14,15,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,7,The cells were operating in the Ghazaliyah and al-Jihad districts of the capital.,The cells were operating in the Ghazaliyah and al - Jihad districts of the capital .,V,operating,operate,VBG,Part,Past,Simple,Act,4,5.37e-5,Fin,/,/,were,/,The cells,/,/,cells,4.79E-05,def,Plur,3,org,full,2,NNS,2,/,0,/,/,/,/,/,/,/,/,/,/,/,in the Ghazaliyah and al - Jihad districts of the capital,in,districts,1.66E-05,def,Plur,3,loc,17,NNS,full,12,/,/,/,/,NA,19,/,/,/,/,Act,Act,Pass,Act,Act,Act,Act,Pass,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,15,16,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",Although the announcement was probably made to show progress in identifying and breaking up terror cells,V,made,make,VBN,Part,Past,Simple,Pass,1,8.32e-4,Fin,/,/,was,be,the announcement,/,/,announcement,1.95E-05,def,Sing,3,nonconc,full,4,NN,3,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,24,/,/,/,/,Act,Act,Act,Pass,Act,Act,Act,Act,Pass,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,Iraqi authorities,def,Plur,3,org
16,16,17,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",the announcement to show progress in identifying and breaking up terror cells,V,show,show,VB,Inf,Tenseless,Simple,Act,1,4.37e-4,Nonfin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,progress in identifying and breaking up terror cells,0,/,6.46E-05,progress,indef,Sing,3,nonconc,15,NN,full,9,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Pass,Act,Act,Act,Pass,Act,Act,Act,Act,Pass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,17,18,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",in identifying and breaking up terror cells,V,identifying,identify,VBG,Ger,Tenseless,Prog,Act,5,1.1e-5,Nonfin,/,/,/,/,progress,/,/,progress,6.46E-05,indef,Sing,3,nonconc,full,2,NN,9,terror cells,0,/,4.79E-05,cells,indef,Plur,3,org,3,NNS,full,16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Pass,Act,Act,Act,Pass,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,18,19,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",and breaking up terror cells,V,breaking up,break up,VBG,Ger,Tenseless,Prog,Act,2,5.14e-5,Nonfin,/,/,/,/,progress,/,/,progress,6.46E-05,indef,Sing,3,nonconc,full,2,NN,9,terror cells,0,/,4.79E-05,cells,indef,Plur,3,org,3,NNS,full,16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Pass,Act,Act,Act,Pass,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,19,20,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.","Although the announcement was probably made to show progress in identifying and breaking up terror cells , I do n't find the news that the Baathists continue to penetrate the Iraqi government very hopeful .",V,find,find,VB,Inf,Pres,Simple,Act,1,5.5e-4,Fin,/,/,do,/,I,/,/,I,0.0129,def,Sing,1,human,pron,1,PRP,18,the news that the Baathists continue to penetrate the Iraqi government,0,/,0.000257,news,def,Sing,3,nonconc,21,NN,full,23,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,26,/,/,/,/,Act,Act,Act,Pass,Act,Act,Act,Pass,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,20,21,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",that the Baathists continue to penetrate the Iraqi government,V,continue,continue,VBP,Fin,Pres,Simple,Act,3,1.2e-4,Fin,/,/,/,/,the Baathists,/,/,Baathists,4.07E-08,def,Plur,3,/,proper,3,NNPS,26,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Pass,Act,Act,Act,Pass,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,21,22,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",the Baathists to penetrate the Iraqi government,V,penetrate,penetrate,VB,Inf,Tenseless,Simple,Act,3,3.89e-6,Nonfin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,the Iraqi government,0,/,0.000479,government,def,Sing,3,org,7,NN,full,32,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,20,/,/,/,Act,Act,Act,Act,Act,Pass,Act,Act,Act,Pass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,22,23,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,9,It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam.,It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam .,V,reminds,remind,VBZ,Fin,Pres,Simple,Act,2,1.74e-5,Fin,/,/,/,/,It,/,/,It,0.00912,def,Sing,3,nonconc,pron,1,PRP,1,me,0,/,0.00331,me,def,Sing,1,human,1,PRP,pron,3,of the ARVN officers who were secretly working for the other side in Vietnam,of,officers,7.59E-05,def,Plur,3,human,23,NNS,full,9,/,/,/,/,NA,24,26,/,/,/,Act,Act,Act,Act,Act,Act,Pass,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,23,24,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,9,It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam.,of the ARVN officers who were secretly working for the other side in Vietnam,V,working,work,VBG,Part,Past,Simple,Act,2,2.82e-4,Fin,/,/,were,/,who,/,/,who,0.00224,indef,/,3,org,wh,1,WP,10,/,0,/,/,/,/,/,/,/,/,/,/,/,for the other side,for,side,0.000309,def,Sing,3,org,5,NN,full,17,in Vietnam,/,19,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Pass,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,24,25,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,10,Al-Zaman : Guerrillas killed a member of the Kurdistan Democratic Party after kidnapping him in Mosul.,Guerrillas killed a member of the Kurdistan Democratic Party after kidnapping him in Mosul,V,killed,kill,VBD,Fin,Past,Simple,Act,1,1.55e-4,Fin,/,/,/,/,Guerrillas,/,/,Guerrillas,1.66E-06,indef,Plur,3,human,full,3,NNS,5,a member of the Kurdistan Democratic Party,0,/,0.000162,member,indef,Sing,3,NMA!,14,NN,full,8,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,3,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Pass,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,25,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,10,Al-Zaman : Guerrillas killed a member of the Kurdistan Democratic Party after kidnapping him in Mosul.,after kidnapping him in Mosul,V,kidnapping,kidnap,VBG,Ger,Tenseless,Prog,Act,3,5.75e-6,Nonfin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,him,0,/,0.00126,him,def,Sing,3,human,1,PRP,pron,16,in Mosul,in,Mosul,1.17E-06,def,Sing,3,/,3,NNP,proper,18,/,/,/,/,NA,/,1,2,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Pass,NA,NA,NA,NA,NA,NA,NA,NA,NA,Guerillas,indef,Plur,3,human
26,26,27,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,11,"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul, whereas there had been a big jump in the number of kidnappings.","The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul , whereas there had been a big jump in the number of kidnappings .",V,announced,announce,VBD,Fin,Past,Simple,Act,2,8.71e-5,Fin,/,/,/,/,The police commander of Ninevah Province,/,/,commander,3.31E-05,def,Sing,3,human,full,13,NN,3,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,27,28,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,11,"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul, whereas there had been a big jump in the number of kidnappings.","that bombings had declined 80 percent in Mosul , whereas there had been a big jump in the number of kidnappings",V,declined,decline,VBN,Part,Past,Perf,Act,2,1.66e-5,Fin,/,/,had,/,bombings,/,/,bombings,2.95E-06,indef,Plur,3,nonconc,full,2,NNS,9,80 percent,0,/,9.77E-05,percent,indef,Sing,3,nonconc,2,NN,full,13,in Mosul,in,Mosul,1.17E-06,def,Sing,3,/,3,NNP,proper,15,/,/,/,/,NA,/,/,2,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,28,29,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,11,"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul, whereas there had been a big jump in the number of kidnappings.",whereas there had been a big jump in the number of kidnappings,V,been,be,VBN,Part,Past,Perf,Act,1,0.00191,Fin,/,/,had,/,a big jump in the number of kidnappings,/,/,jump,4.57E-05,indef,Sing,3,conc,full,11,NN,23,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,29,30,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,12,On Wednesday guerrillas had kidnapped a cosmetic surgeon and his wife while they were on their way home.,On Wednesday guerrillas had kidnapped a cosmetic surgeon and his wife while they were on their way home .,V,kidnapped,kidnap,VBN,Part,Past,Perf,Act,2,8.51e-6,Fin,/,/,had,/,guerrillas,/,/,guerrillas,1.66E-06,indef,Plur,3,human,full,3,NNS,3,a cosmetic surgeon and his wife,0,/,1.2e-05;;0.000162,surgeon;;wife,indef;;indef,Plur,3,human;;human,9,NN;;NN,full;;full,8;;11,On Wednesday,On,Wednesday,3.55E-05,def,Sing,3,/,3,NNP,proper,2,/,/,/,/,NA,9,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,30,31,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,12,On Wednesday guerrillas had kidnapped a cosmetic surgeon and his wife while they were on their way home.,while they were on their way home,N,way,way,NN,/,Tenseless,Simple,Act,1,9.77e-4,Nonfin,/,/,/,/,they,/,/,they,0.00324,def,Plur,3,/,pron,1,PRP,13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,9,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,31,32,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,13,"In Suwayrah, Kut Province, two car bombs were discovered before they could be detonated.","In Suwayrah , Kut Province , two car bombs were discovered before they could be detonated .",V,discovered,discover,VBN,Part,Past,Simple,Pass,3,5.5e-5,Fin,/,/,were,be,two car bombs,/,/,bombs,1.32E-05,indef,Sing,3,conc,full,3,NN,9,/,0,/,/,/,/,/,/,/,/,/,/,/,"In Suwayrah , Kut Province",In,Suwayrah,0,def,Sing,3,loc,7,NNP,proper,2,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,indef,/,3,human
32,32,33,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,13,"In Suwayrah, Kut Province, two car bombs were discovered before they could be detonated.",before they could be detonated,V,detonated,detonate,VBN,Part,Tenseless,Simple,Pass,4,1.23e-6,Fin,/,could,be,be,they,/,/,they,0.00324,def,Plur,3,/,pron,1,PRP,13,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,9,/,/,/,/,Pass,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,indef,/,3,human
33,33,34,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,14,"(Kut is in southeastern Iraq and has an overwhelmingly Shiite population, who are on the lookout for Baathist saboteurs and willingly turn them in.","( Kut is in southeastern Iraq and has an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in .",N,Iraq,Iraq,NNP,/,Tenseless,Simple,Act,2,3.47e-5,Nonfin,/,/,/,/,Kut,/,/,Kut,2.69E-07,def,Sing,3,/,proper,1,NNP,2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,13,/,/,/,/,Pass,Pass,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,34,35,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,14,"(Kut is in southeastern Iraq and has an overwhelmingly Shiite population, who are on the lookout for Baathist saboteurs and willingly turn them in.","Kut and has an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in",V,has,have,VBZ,Fin,Pres,Simple,Act,1,0.00234,Fin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,"an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in",0,/,0.000132,population,indef,Sing,3,nonconc,32,NN,full,12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Pass,Pass,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
